Rank,Title,Artist,Year,genius_url
27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012,https://genius.com/Billboard-hot-rap-songs-chart-25th-anniversary-top-100-songs-lyrics
28,Boyfriend,Justin Bieber,2012,https://genius.com/Justin-bieber-boyfriend-lyrics
29,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012,https://genius.com/Hitradio-o3-nummer-eins-hits-in-osterreich-2011-annotated
30,Too Close,Alex Clare,2012,https://genius.com/Alex-clare-too-close-lyrics
31,Part Of Me,Katy Perry,2012,https://genius.com/Katy-perry-part-of-me-lyrics
32,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012,https://genius.com/Snoop-dogg-and-wiz-khalifa-young-wild-and-free-lyrics
33,We Are Never Ever Getting Back Together,Taylor Swift,2012,https://genius.com/Taylor-swift-we-are-never-ever-getting-back-together-lyrics
34,As Long As You Love Me,Justin Bieber Featuring Big Sean,2012,https://genius.com/Justin-bieber-as-long-as-you-love-me-lyrics
35,Turn Me On,David Guetta Featuring Nicki Minaj,2012,https://genius.com/David-guetta-turn-me-on-david-guetta-and-laidback-luke-remix-lyrics
36,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012,https://genius.com/Hitradio-o3-nummer-eins-hits-in-osterreich-2011-annotated
37,Blow Me (One Last Kiss),P!nk,2012,https://genius.com/P-nk-blow-me-one-last-kiss-lyrics
38,Good Time,Owl City & Carly Rae Jepsen,2012,https://genius.com/Owl-city-and-carly-rae-jepsen-good-time-lyrics
39,Give Your Heart A Break,Demi Lovato,2012,https://genius.com/Demi-lovato-give-your-heart-a-break-lyrics
40,Ni**as in Paris,Jay Z Kanye West,2012,https://genius.com/Billboard-hot-rap-songs-chart-25th-anniversary-top-100-songs-lyrics
41,The One That Got Away,Katy Perry,2012,https://genius.com/Katy-perry-the-one-that-got-away-lyrics
42,Feel So Close,Calvin Harris,2012,https://genius.com/Calvin-harris-feel-so-close-lyrics
43,Someone Like You,Adele,2012,https://genius.com/Adele-someone-like-you-lyrics
44,Scream,Usher,2012,https://genius.com/Usher-scream-lyrics
45,Rack City,Tyga,2012,https://genius.com/Tyga-rack-city-lyrics
46,Domino,Jessie J,2012,https://genius.com/Jessie-j-domino-lyrics
47,Gangnam Style,PSY,2012,https://genius.com/Psy-gangnam-style-lyrics
48,International Love,Pitbull Featuring Chris Brown,2012,https://genius.com/Eolhc-chris-brown-videography-annotated
49,Home,Phillip Phillips,2012,https://genius.com/Phillip-phillips-home-lyrics
50,Without You,David Guetta Featuring Usher,2012,https://genius.com/Genius-norske-oversettelser-david-guetta-without-you-ft-usher-norsk-oversettelse-lyrics
51,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012,https://genius.com/Gym-class-heroes-ass-back-home-lyrics
52,Wanted,Hunter Hayes,2012,https://genius.com/Hunter-hayes-wanted-lyrics
53,Drunk On You,Luke Bryan,2012,https://genius.com/Luke-bryan-drunk-on-you-lyrics
54,No Lie,2 Chainz Featuring Drake,2012,https://genius.com/Lil-mel-i-do-it-contest-beat-lyrics
55,Want U Back,Cher Lloyd,2012,https://genius.com/Cher-lloyd-want-u-back-lyrics
56,Don't Wake Me Up,Chris Brown,2012,https://genius.com/Chris-brown-dont-wake-me-up-lyrics
57,Dance (A$$),Big Sean Featuring Nicki Minaj,2012,https://genius.com/Apple-music-big-sean-essentials-lyrics
58,Springsteen,Eric Church,2012,https://genius.com/Eric-church-springsteen-lyrics
59,Brokenhearted,Karmin,2012,https://genius.com/Karmin-brokenhearted-lyrics
60,Not Over You,Gavin DeGraw,2012,https://genius.com/Gavin-degraw-not-over-you-lyrics
61,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012,https://genius.com/Josiah-botting-youth-group-background-music-annotated
62,Back In Time,Pitbull,2012,https://genius.com/Pitbull-back-in-time-lyrics
63,Work Out,J. Cole,2012,https://genius.com/J-cole-work-out-lyrics
64,Rumour Has It,Adele,2012,https://genius.com/Adele-rumour-has-it-lyrics
65,Let's Go,Calvin Harris Featuring Ne-Yo,2012,https://genius.com/Dream-team-lets-go-calvin-harris-feat-ne-yo-tribute-lyrics
66,Good Girl,Carrie Underwood,2012,https://genius.com/Carrie-underwood-good-girl-lyrics
67,Pontoon,Little Big Town,2012,https://genius.com/Little-big-town-pontoon-lyrics
68,Ho Hey,The Lumineers,2012,https://genius.com/The-lumineers-ho-hey-lyrics
69,Paradise,Coldplay,2012,https://genius.com/Coldplay-paradise-lyrics
70,Blown Away,Carrie Underwood,2012,https://genius.com/Carrie-underwood-blown-away-lyrics
71,Rolling In The Deep,Adele,2012,https://genius.com/Adele-rolling-in-the-deep-lyrics
72,Climax,Usher,2012,https://genius.com/Usher-climax-lyrics
73,"Work Hard, Play Hard",Wiz Khalifa,2012,https://genius.com/Wiz-khalifa-work-hard-play-hard-lyrics
74,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,https://genius.com/Ne-yo-let-me-love-you-until-you-learn-to-love-yourself-lyrics
75,Pound The Alarm,Nicki Minaj,2012,https://genius.com/Nicki-minaj-pound-the-alarm-lyrics
